zip,Rate,Amount
92220,0.954707,59116.0
94110,0.920347,152403.0
93534,0.98411,58891.0
93291,1.051261,81502.0
91204,1.135616,72906.0
93721,0.999118,32602.0
90027,0.805574,90532.0
95361,0.97987,91381.0
92868,1.05421,89050.0
94080,0.938501,135966.0
95051,0.934663,185632.0
94596,1.137576,137660.0
94589,0.956175,91313.0
94611,0.940636,176517.0
94115,1.049458,154264.0
92103,1.012344,96887.0
90732,0.89132,118658.0
93030,0.794823,90067.0
95204,0.839107,71792.0
92411,0.945543,55457.0
95476,0.923121,108322.0
90255,0.91618,61376.0
93720,1.018906,103636.0
91786,1.19996,86961.0
92123,1.240959,121856.0
94589,0.883353,91313.0
92503,0.928989,91523.0
90033,0.970797,56001.0
90262,0.813911,70507.0
93454,0.745259,84178.0
95816,0.795858,90521.0
93436,0.884165,76241.0
90404,0.94966,85081.0
94403,0.959412,179825.0
92025,0.845166,71716.0
91325,0.955034,92602.0
95336,0.946351,86411.0
93230,0.865272,73558.0
95203,0.939047,64710.0
91208,0.949855,131229.0
95116,0.830503,83428.0
91405,0.935793,61207.0
95695,0.910662,78875.0
92056,1.194733,102570.0
92404,1.066665,66173.0
94945,0.836922,109750.0
91776,1.170397,79926.0
95901,1.061463,68109.0
90028,0.729629,59393.0
94954,0.863889,107564.0
91402,1.133046,56369.0
90027,1.134471,90532.0
90242,0.899016,83238.0
92335,1.049049,75198.0
93940,1.286351,110669.0
90015,0.947475,63211.0
95945,0.777583,61068.0
94109,0.956134,112201.0
91436,0.900086,174803.0
93003,0.910053,100300.0
95231,1.376863,73292.0
92835,0.704392,138487.0
90602,1.161166,67259.0
95405,0.749691,117931.0
95382,0.816386,93592.0
94598,1.194488,188170.0
90813,0.930178,50302.0
95076,0.890089,86685.0
94538,1.205406,144451.0
94062,0.94522,233333.0
93552,0.917737,84894.0
94501,0.885431,119500.0
91911,0.976024,79334.0
92663,0.895666,138271.0
92801,1.060324,78477.0
94110,1.075747,152403.0
92843,0.851454,82009.0
91767,0.64963,80201.0
93401,0.685353,95386.0
92118,1.161132,135056.0
91505,0.984688,106364.0
93065,1.229145,113893.0
91007,1.071537,101762.0
91206,0.740125,86684.0
95065,1.020179,142768.0
92262,0.840363,70514.0
92324,0.88495,69419.0
93906,1.016162,96044.0
95667,0.875741,90499.0
93308,1.046508,59511.0
93703,0.908169,43236.0
93257,0.97463,58261.0
92373,1.073324,99354.0
94553,1.153664,121023.0
92252,0.97864,62821.0
96001,1.290544,70594.0
91801,0.937896,85549.0
94588,0.921219,186569.0
94015,0.879599,123552.0
90404,0.89217,85081.0
95403,1.010688,94480.0
92555,1.06602,113636.0
93301,1.00105,40725.0
92311,1.123782,59338.0
92307,1.164821,74715.0
95482,0.864658,70063.0
94705,0.890327,163254.0
94040,0.870551,184494.0
95661,0.958596,103745.0
95655,0.774237,130500.0
95376,0.843561,103493.0
93306,1.009961,66988.0
94304,0.982318,162569.0
94602,0.915881,124744.0
92037,1.254867,141822.0
92354,0.637476,86063.0
92882,1.011309,100668.0
93901,0.936917,91639.0
95370,0.835432,72433.0
95240,0.98843,76870.0
92227,0.98225,60593.0
92868,0.941174,89050.0
90640,1.422012,74833.0
96150,1.010408,83738.0
90503,0.706089,119685.0
93111,0.900963,139876.0
94904,1.084504,161875.0
94533,1.016493,85990.0
90033,1.009859,56001.0
91352,0.956453,74621.0
95124,0.898183,188433.0
91723,1.082413,87363.0
92543,0.96199,47002.0
90241,0.852041,84375.0
93003,0.7863,100300.0
93105,1.022259,129549.0
94133,0.949356,83025.0
90710,1.017485,77486.0
95630,1.147177,139182.0
95531,0.936817,66817.0
92037,1.002083,141822.0
95825,1.013227,64264.0
92804,0.813983,74588.0
94305,0.936035,72470.0
95340,0.717679,65141.0
93301,0.851602,40725.0
94117,0.731453,175096.0
95350,1.228911,73611.0
90247,0.852518,73851.0
90017,1.082679,51317.0
91307,0.901398,136154.0
90806,0.950936,73674.0
94546,0.867703,125780.0
93611,1.020277,114677.0
94520,1.335095,79790.0
95603,0.962823,80851.0
92024,1.01282,149080.0
93405,0.874156,52481.0
94903,0.961654,127464.0
94538,0.947629,144451.0
92120,0.992402,114579.0
95608,0.785204,83638.0
92395,0.943594,57407.0
94509,0.97654,81512.0
92647,0.873638,107877.0
93635,0.941655,70666.0
92201,0.892775,66663.0
